模拟路径,博弈论次,α,β,γ
路径19,447,0,0,0
路径19,473,0,0,0
路径19,500,0,0,0
路径20,1,0.2,0.5,0.5
路径20,27,0.173985245,0.432025007,0.368802049
路径20,53,0.148111696,0.376994397,0.230685441
路径20,79,0.095798501,0.259689979,0.145956562
路径20,106,0.113092966,0.254781396,0.091303129
路径20,132,0.12309838,0.337905303,0.037549075
路径20,158,0.114350335,0.289185434,0.039142349
路径20,184,0.113074962,0.238169497,0.020231984
路径20,211,0.078834567,0.222257724,0.033298957
路径20,237,0.041406426,0.199287139,0.029986853
路径20,263,0.02536669,0.149446612,0.021695682
路径20,289,0.054005512,0.19194398,0.009865424
路径20,316,0.05815184,0.064283219,0.011162257
路径20,342,0.082480718,0.017524081,0.015736693
路径20,368,0.08703938,0.020507018,0.01437929
路径20,394,0.184175315,0.002804645,0.004255505
路径20,421,0.145222837,0.011474902,0
路径20,447,0.273491657,0,0
路径20,473,0.267687899,0,0
路径20,500,0.38215397,0,0
